2026-04-06 09:02:37 | dashboard_api                  | INFO    | Dashboard API starting…
2026-04-06 09:02:37 | db                             | INFO    | DuckDB singleton connection opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/market.duckdb
2026-04-06 09:02:37 | db                             | INFO    | Schema initialised
2026-04-06 09:02:38 | sync_prices                    | INFO    | [INDIA] No delisted stocks to purge
2026-04-06 09:02:38 | watchlist                      | INFO    | Watchlist: 33 candidates (down_days >= 3)
2026-04-06 09:02:38 | kite_intraday                  | INFO    | Loaded 9583 NSE instrument tokens
2026-04-06 09:02:38 | intraday_db                    | INFO    | Intraday DB opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/intraday.duckdb
2026-04-06 09:02:39 | watchlist                      | INFO    | Watchlist with tokens: 33 stocks ready for live monitoring
2026-04-06 09:02:39 | kite_live                      | INFO    | Kite Ticker started in background thread
2026-04-06 09:02:39 | dashboard_api                  | INFO    | Auto-start: live ticker started with 33 stocks
2026-04-06 09:02:39 | kite_orders                    | INFO    | Order poller started (every 30s)
2026-04-06 09:02:39 | kite_orders                    | INFO    | AUTO-TRADE ENABLED
2026-04-06 09:02:39 | dashboard_api                  | INFO    | Auto-start: auto-trade enabled
2026-04-06 09:02:39 | kite_orders                    | INFO    | Morning SL refresh: no open positions
2026-04-06 09:02:39 | kite_live                      | INFO    | Kite Ticker connected, subscribing to 33 tokens
2026-04-06 09:02:47 | watchlist                      | INFO    | Watchlist: 33 candidates (down_days >= 3)
2026-04-06 09:02:47 | dashboard_api                  | INFO    | WS connected (1 clients)
2026-04-06 09:02:47 | dashboard_api                  | INFO    | WS connected (2 clients)
2026-04-06 09:02:50 | db                             | INFO    | Schema initialised
2026-04-06 09:02:50 | sync_prices                    | WARNING | INDIA market still open — skipping sync
2026-04-06 09:02:50 | dashboard_api                  | INFO    | Daily sync done: [{'market': 'india', 'tickers': 0, 'synced': 0, 'failed': 0, 'new_rows': 0, 'newly_delisted': [], 'skipped_up_to_date': 0, 'market_open': True, 'message': 'INDIA market still open'}]
2026-04-06 09:02:50 | s03_features                   | INFO    | ══════════════════════════════════════════════════
2026-04-06 09:02:50 | s03_features                   | INFO    | Feature engineering: INDIA
2026-04-06 09:02:50 | s03_features                   | INFO    | ══════════════════════════════════════════════════
2026-04-06 09:02:50 | s03_features                   | INFO    | Loaded 1,146,816 rows for 1992 tickers
2026-04-06 09:02:50 | s03_features                   | INFO    | Computing indicators…
2026-04-06 09:03:23 | s03_features                   | WARNING | Price coherence: 1 tickers have scale-corrupted Yahoo data (>3.0x jump):
2026-04-06 09:03:23 | s03_features                   | WARNING |   AQYLON: latest=48.17 vs median50=150.80 (ratio=0.3x) — REMOVED
2026-04-06 09:03:24 | s03_features                   | INFO    | Price coherence filter: 1,146,816 → 1,146,321 rows (1 tickers removed)
2026-04-06 09:03:24 | s03_features                   | INFO    | Quality filter: 1,146,321 → 723,861 rows (422,460 removed) [min_price=$10.0, min_vol=100,000, min_$vol=$2,000,000, max_price_india=₹3,000]
2026-04-06 09:03:24 | s03_features                   | INFO    | IPO seasoning: removed 16,383 rows (< 60 days)
2026-04-06 09:03:24 | s03_features                   | INFO    | ✓ INDIA: 1858 tickers, 707,478 rows after filters
2026-04-06 09:03:24 | s03_features                   | INFO    | Storing 707,478 feature rows…
2026-04-06 09:03:26 | s03_features                   | INFO    | ✓ Features table: 707,478 rows, 1858 tickers
2026-04-06 09:03:26 | dashboard_api                  | INFO    | [india] Pipeline step 'features' OK  (36.0s)
2026-04-06 09:03:26 | s04_rs_rank                    | INFO    | ══════════════════════════════════════════════════
2026-04-06 09:03:26 | s04_rs_rank                    | INFO    | Relative strength ranking: INDIA
2026-04-06 09:03:26 | s04_rs_rank                    | INFO    | ══════════════════════════════════════════════════
2026-04-06 09:03:27 | s04_rs_rank                    | INFO    | Computing cross-sectional RS ranks…
2026-04-06 09:03:27 | s04_rs_rank                    | INFO    |   RS vs benchmark computed
2026-04-06 09:03:27 | s04_rs_rank                    | INFO    |   Sector momentum computed
2026-04-06 09:03:27 | s04_rs_rank                    | INFO    | ✓ INDIA: 1858 tickers ranked
2026-04-06 09:03:27 | s04_rs_rank                    | INFO    | Storing 707,478 ranked rows…
2026-04-06 09:03:29 | s04_rs_rank                    | INFO    | ✓ Ranked table: 707,478 rows
