2026-04-01 13:48:05 | db                             | INFO    | DuckDB singleton connection opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/market.duckdb
2026-04-01 13:50:29 | db                             | INFO    | DuckDB singleton connection opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/market.duckdb
2026-04-01 13:50:43 | dashboard_api                  | INFO    | Dashboard API starting…
2026-04-01 13:50:43 | db                             | INFO    | DuckDB singleton connection opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/market.duckdb
2026-04-01 13:50:43 | db                             | INFO    | Schema initialised
2026-04-01 13:50:43 | sync_prices                    | INFO    | [INDIA] No delisted stocks to purge
2026-04-01 13:50:43 | watchlist                      | INFO    | Watchlist: 50 candidates (down_days >= 3)
2026-04-01 13:50:44 | kite_intraday                  | INFO    | Loaded 9554 NSE instrument tokens
2026-04-01 13:50:44 | intraday_db                    | INFO    | Intraday DB opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/intraday.duckdb
2026-04-01 13:50:45 | watchlist                      | INFO    | Watchlist with tokens: 50 stocks ready for live monitoring
2026-04-01 13:50:45 | kite_live                      | INFO    | Restored 2 already-fired signals from DB (prices locked)
2026-04-01 13:50:45 | kite_live                      | INFO    | Late start detected (13:50) — backfilling first-hour data…
2026-04-01 13:51:06 | kite_live                      | INFO    | Backfill complete: 50/50 stocks filled, first_hour_done=True
2026-04-01 13:51:06 | kite_live                      | INFO    | Kite Ticker started in background thread
2026-04-01 13:51:06 | dashboard_api                  | INFO    | Auto-start: live ticker started with 50 stocks
2026-04-01 13:51:06 | kite_orders                    | INFO    | Loaded 2 orders from today
2026-04-01 13:51:06 | kite_orders                    | INFO    | Order poller started (every 30s)
2026-04-01 13:51:06 | kite_orders                    | INFO    | AUTO-TRADE ENABLED
2026-04-01 13:51:06 | dashboard_api                  | INFO    | Auto-start: auto-trade enabled
2026-04-01 13:51:06 | kite_live                      | INFO    | Kite Ticker connected, subscribing to 50 tokens
2026-04-01 13:51:07 | watchlist                      | INFO    | Watchlist: 50 candidates (down_days >= 3)
2026-04-01 13:51:07 | dashboard_api                  | INFO    | WS connected (1 clients)
2026-04-01 13:56:16 | dashboard_api                  | INFO    | Dashboard API starting…
2026-04-01 13:56:16 | db                             | INFO    | DuckDB singleton connection opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/market.duckdb
2026-04-01 13:56:16 | db                             | INFO    | Schema initialised
2026-04-01 13:56:16 | sync_prices                    | INFO    | [INDIA] No delisted stocks to purge
2026-04-01 13:56:16 | watchlist                      | INFO    | Watchlist: 50 candidates (down_days >= 3)
2026-04-01 13:56:17 | kite_intraday                  | INFO    | Loaded 9554 NSE instrument tokens
2026-04-01 13:56:17 | intraday_db                    | INFO    | Intraday DB opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/intraday.duckdb
2026-04-01 13:56:18 | watchlist                      | INFO    | Watchlist with tokens: 50 stocks ready for live monitoring
2026-04-01 13:56:18 | kite_live                      | INFO    | Restored 2 already-fired signals from DB (prices locked)
2026-04-01 13:56:18 | kite_live                      | INFO    | Late start detected (13:56) — backfilling first-hour data…
2026-04-01 13:56:39 | kite_live                      | INFO    | Backfill complete: 50/50 stocks filled, first_hour_done=True
2026-04-01 13:56:39 | kite_live                      | INFO    | Kite Ticker started in background thread
2026-04-01 13:56:39 | dashboard_api                  | INFO    | Auto-start: live ticker started with 50 stocks
2026-04-01 13:56:39 | kite_orders                    | INFO    | Loaded 2 orders from today
2026-04-01 13:56:39 | kite_orders                    | INFO    | Order poller started (every 30s)
2026-04-01 13:56:39 | kite_orders                    | INFO    | AUTO-TRADE ENABLED
2026-04-01 13:56:39 | dashboard_api                  | INFO    | Auto-start: auto-trade enabled
2026-04-01 13:56:39 | kite_live                      | INFO    | Kite Ticker connected, subscribing to 50 tokens
2026-04-01 13:59:38 | dashboard_api                  | INFO    | Dashboard API starting…
2026-04-01 13:59:38 | db                             | INFO    | DuckDB singleton connection opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/market.duckdb
2026-04-01 13:59:38 | db                             | INFO    | Schema initialised
2026-04-01 13:59:38 | sync_prices                    | INFO    | [INDIA] No delisted stocks to purge
2026-04-01 13:59:38 | watchlist                      | INFO    | Watchlist: 50 candidates (down_days >= 3)
2026-04-01 13:59:38 | kite_intraday                  | INFO    | Loaded 9554 NSE instrument tokens
2026-04-01 13:59:38 | intraday_db                    | INFO    | Intraday DB opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/intraday.duckdb
2026-04-01 13:59:39 | watchlist                      | INFO    | Watchlist with tokens: 50 stocks ready for live monitoring
2026-04-01 13:59:39 | kite_live                      | INFO    | Restored 2 already-fired signals from DB (prices locked)
2026-04-01 13:59:39 | kite_live                      | INFO    | Late start detected (13:59) — backfilling first-hour data…
2026-04-01 14:00:01 | kite_live                      | INFO    | Backfill complete: 50/50 stocks filled, first_hour_done=True
2026-04-01 14:00:01 | kite_live                      | INFO    | Kite Ticker started in background thread
2026-04-01 14:00:01 | dashboard_api                  | INFO    | Auto-start: live ticker started with 50 stocks
2026-04-01 14:00:01 | kite_orders                    | INFO    | Loaded 2 orders from today
2026-04-01 14:00:01 | kite_orders                    | INFO    | Order poller started (every 30s)
2026-04-01 14:00:01 | kite_orders                    | INFO    | AUTO-TRADE ENABLED
2026-04-01 14:00:01 | dashboard_api                  | INFO    | Auto-start: auto-trade enabled
2026-04-01 14:00:01 | kite_live                      | INFO    | Kite Ticker connected, subscribing to 50 tokens
2026-04-01 14:01:51 | dashboard_api                  | INFO    | Dashboard API starting…
2026-04-01 14:01:51 | db                             | INFO    | DuckDB singleton connection opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/market.duckdb
2026-04-01 14:01:51 | db                             | INFO    | Schema initialised
2026-04-01 14:01:51 | sync_prices                    | INFO    | [INDIA] No delisted stocks to purge
2026-04-01 14:01:52 | watchlist                      | INFO    | Watchlist: 50 candidates (down_days >= 3)
2026-04-01 14:01:52 | kite_intraday                  | INFO    | Loaded 9554 NSE instrument tokens
2026-04-01 14:01:52 | intraday_db                    | INFO    | Intraday DB opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/intraday.duckdb
2026-04-01 14:01:53 | watchlist                      | INFO    | Watchlist with tokens: 50 stocks ready for live monitoring
2026-04-01 14:01:53 | kite_live                      | INFO    | Restored 2 already-fired signals from DB (prices locked)
2026-04-01 14:01:53 | kite_live                      | INFO    | Late start detected (14:01) — backfilling first-hour data…
2026-04-01 14:02:16 | kite_live                      | INFO    | Backfill complete: 50/50 stocks filled, first_hour_done=True
2026-04-01 14:02:16 | kite_live                      | INFO    | Kite Ticker started in background thread
2026-04-01 14:02:16 | dashboard_api                  | INFO    | Auto-start: live ticker started with 50 stocks
2026-04-01 14:02:16 | kite_orders                    | INFO    | Loaded 2 orders from today
2026-04-01 14:02:16 | kite_orders                    | INFO    | Order poller started (every 30s)
2026-04-01 14:02:16 | kite_orders                    | INFO    | AUTO-TRADE ENABLED
2026-04-01 14:02:16 | dashboard_api                  | INFO    | Auto-start: auto-trade enabled
2026-04-01 14:02:16 | kite_live                      | INFO    | Kite Ticker connected, subscribing to 50 tokens
2026-04-01 14:02:38 | watchlist                      | INFO    | Watchlist: 50 candidates (down_days >= 3)
2026-04-01 14:02:38 | dashboard_api                  | INFO    | WS connected (1 clients)
2026-04-01 14:03:09 | dashboard_api                  | INFO    | WS disconnected (0 clients)
2026-04-01 14:03:09 | watchlist                      | INFO    | Watchlist: 50 candidates (down_days >= 3)
2026-04-01 14:03:09 | dashboard_api                  | INFO    | WS connected (1 clients)
2026-04-01 14:25:43 | dashboard_api                  | INFO    | Dashboard API starting…
2026-04-01 14:25:43 | db                             | INFO    | DuckDB singleton connection opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/market.duckdb
2026-04-01 14:25:43 | db                             | INFO    | Schema initialised
2026-04-01 14:25:44 | sync_prices                    | INFO    | [INDIA] No delisted stocks to purge
2026-04-01 14:25:44 | watchlist                      | INFO    | Watchlist: 50 candidates (down_days >= 3)
2026-04-01 14:25:44 | kite_intraday                  | INFO    | Loaded 9554 NSE instrument tokens
2026-04-01 14:25:44 | intraday_db                    | INFO    | Intraday DB opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/intraday.duckdb
2026-04-01 14:25:45 | watchlist                      | INFO    | Watchlist with tokens: 50 stocks ready for live monitoring
2026-04-01 14:25:45 | kite_live                      | INFO    | Restored 2 already-fired signals from DB (prices locked)
2026-04-01 14:25:45 | kite_live                      | INFO    | Late start detected (14:25) — backfilling first-hour data…
2026-04-01 14:26:06 | kite_live                      | INFO    | Backfill complete: 50/50 stocks filled, first_hour_done=True
2026-04-01 14:26:06 | kite_live                      | INFO    | Kite Ticker started in background thread
2026-04-01 14:26:06 | dashboard_api                  | INFO    | Auto-start: live ticker started with 50 stocks
2026-04-01 14:26:06 | kite_orders                    | INFO    | Loaded 2 orders from today
2026-04-01 14:26:06 | kite_orders                    | INFO    | Order poller started (every 30s)
2026-04-01 14:26:06 | kite_orders                    | INFO    | AUTO-TRADE ENABLED
2026-04-01 14:26:06 | dashboard_api                  | INFO    | Auto-start: auto-trade enabled
2026-04-01 14:26:07 | kite_live                      | INFO    | Kite Ticker connected, subscribing to 50 tokens
2026-04-01 14:26:10 | watchlist                      | INFO    | Watchlist: 50 candidates (down_days >= 3)
2026-04-01 14:26:10 | dashboard_api                  | INFO    | WS connected (1 clients)
2026-04-01 14:27:12 | dashboard_api                  | INFO    | WS disconnected (0 clients)
2026-04-01 15:20:46 | db                             | INFO    | DuckDB singleton connection closed
2026-04-01 15:20:46 | dashboard_api                  | INFO    | Dashboard API shut down.
2026-04-01 15:25:28 | dashboard_api                  | INFO    | Dashboard API starting…
2026-04-01 15:25:28 | db                             | INFO    | DuckDB singleton connection opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/market.duckdb
2026-04-01 15:25:28 | db                             | INFO    | Schema initialised
2026-04-01 15:25:28 | sync_prices                    | INFO    | [INDIA] No delisted stocks to purge
2026-04-01 15:25:29 | watchlist                      | INFO    | Watchlist: 50 candidates (down_days >= 3)
2026-04-01 15:25:29 | kite_intraday                  | INFO    | Loaded 9554 NSE instrument tokens
2026-04-01 15:25:29 | intraday_db                    | INFO    | Intraday DB opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/intraday.duckdb
2026-04-01 15:25:30 | watchlist                      | INFO    | Watchlist with tokens: 50 stocks ready for live monitoring
2026-04-01 15:25:30 | kite_live                      | INFO    | Restored 2 already-fired signals from DB (prices locked)
2026-04-01 15:25:30 | kite_live                      | INFO    | Late start detected (15:25) — backfilling first-hour data…
2026-04-01 15:25:51 | kite_live                      | INFO    | Backfill complete: 50/50 stocks filled, first_hour_done=True
2026-04-01 15:25:51 | kite_live                      | INFO    | Kite Ticker started in background thread
2026-04-01 15:25:51 | dashboard_api                  | INFO    | Auto-start: live ticker started with 50 stocks
2026-04-01 15:25:51 | kite_orders                    | INFO    | Loaded 2 orders from today
2026-04-01 15:25:51 | kite_orders                    | INFO    | Order poller started (every 30s)
2026-04-01 15:25:51 | kite_orders                    | INFO    | AUTO-TRADE ENABLED
2026-04-01 15:25:51 | dashboard_api                  | INFO    | Auto-start: auto-trade enabled
2026-04-01 15:25:52 | kite_live                      | INFO    | Kite Ticker connected, subscribing to 50 tokens
2026-04-01 15:25:54 | watchlist                      | INFO    | Watchlist: 50 candidates (down_days >= 3)
2026-04-01 15:25:54 | dashboard_api                  | INFO    | WS connected (1 clients)
2026-04-01 15:25:54 | dashboard_api                  | INFO    | WS connected (2 clients)
2026-04-01 15:31:23 | dashboard_api                  | INFO    | WS disconnected (1 clients)
2026-04-01 15:31:23 | dashboard_api                  | INFO    | WS disconnected (0 clients)
2026-04-01 15:38:49 | dashboard_api                  | INFO    | Dashboard API starting…
2026-04-01 15:38:49 | db                             | INFO    | DuckDB singleton connection opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/market.duckdb
2026-04-01 15:38:49 | db                             | INFO    | Schema initialised
2026-04-01 15:38:49 | sync_prices                    | INFO    | [INDIA] No delisted stocks to purge
2026-04-01 15:38:49 | watchlist                      | INFO    | Watchlist: 100 candidates (down_days >= 2)
2026-04-01 15:38:49 | kite_intraday                  | INFO    | Loaded 9554 NSE instrument tokens
2026-04-01 15:38:49 | intraday_db                    | INFO    | Intraday DB opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/intraday.duckdb
