2026-04-05 16:52:20 | dashboard_api                  | INFO    | Dashboard API starting…
2026-04-05 16:52:20 | db                             | INFO    | DuckDB singleton connection opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/market.duckdb
2026-04-05 16:52:20 | db                             | INFO    | Schema initialised
2026-04-05 16:52:21 | sync_prices                    | INFO    | [INDIA] No delisted stocks to purge
2026-04-05 16:52:21 | watchlist                      | INFO    | Watchlist: 33 candidates (down_days >= 3)
2026-04-05 16:52:21 | kite_intraday                  | INFO    | Loaded 9583 NSE instrument tokens
2026-04-05 16:52:21 | intraday_db                    | INFO    | Intraday DB opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/intraday.duckdb
2026-04-05 16:52:23 | watchlist                      | INFO    | Watchlist with tokens: 33 stocks ready for live monitoring
2026-04-05 16:52:23 | kite_live                      | INFO    | After market hours (16:52) — skipping backfill
2026-04-05 16:52:23 | kite_live                      | INFO    | Kite Ticker started in background thread
2026-04-05 16:52:23 | dashboard_api                  | INFO    | Auto-start: live ticker started with 33 stocks
2026-04-05 16:52:23 | kite_orders                    | INFO    | Order poller started (every 30s)
2026-04-05 16:52:23 | kite_orders                    | INFO    | AUTO-TRADE ENABLED
2026-04-05 16:52:23 | dashboard_api                  | INFO    | Auto-start: auto-trade enabled
2026-04-05 16:52:23 | kite_orders                    | INFO    | Morning SL refresh: no open positions
2026-04-05 16:52:23 | kite_live                      | ERROR   | Kite Ticker error: 1006 connection was closed uncleanly (WebSocket connection upgrade failed (403 - Forbidden))
2026-04-05 16:52:23 | kite_live                      | WARNING | Kite Ticker closed: 1006 connection was closed uncleanly (WebSocket connection upgrade failed (403 - Forbidden))
2026-04-05 16:52:25 | kite_live                      | ERROR   | Kite Ticker error: 1006 connection was closed uncleanly (WebSocket connection upgrade failed (403 - Forbidden))
2026-04-05 16:52:25 | kite_live                      | WARNING | Kite Ticker closed: 1006 connection was closed uncleanly (WebSocket connection upgrade failed (403 - Forbidden))
2026-04-05 16:52:33 | kite_live                      | ERROR   | Kite Ticker error: 1006 connection was closed uncleanly (WebSocket connection upgrade failed (403 - Forbidden))
2026-04-05 16:52:33 | kite_live                      | WARNING | Kite Ticker closed: 1006 connection was closed uncleanly (WebSocket connection upgrade failed (403 - Forbidden))
2026-04-05 17:00:19 | kite_live                      | ERROR   | Kite Ticker error: 1006 connection was closed uncleanly (WebSocket connection upgrade failed (403 - Forbidden))
2026-04-05 17:00:19 | kite_live                      | WARNING | Kite Ticker closed: 1006 connection was closed uncleanly (WebSocket connection upgrade failed (403 - Forbidden))
2026-04-05 17:01:19 | kite_live                      | ERROR   | Kite Ticker error: 1006 connection was closed uncleanly (WebSocket connection upgrade failed (403 - Forbidden))
2026-04-05 17:01:19 | kite_live                      | WARNING | Kite Ticker closed: 1006 connection was closed uncleanly (WebSocket connection upgrade failed (403 - Forbidden))
2026-04-05 17:02:11 | kite_live                      | ERROR   | Kite Ticker error: 1006 connection was closed uncleanly (WebSocket connection upgrade failed (403 - Forbidden))
2026-04-05 17:02:11 | kite_live                      | WARNING | Kite Ticker closed: 1006 connection was closed uncleanly (WebSocket connection upgrade failed (403 - Forbidden))
2026-04-05 17:03:10 | kite_live                      | ERROR   | Kite Ticker error: 1006 connection was closed uncleanly (WebSocket connection upgrade failed (403 - Forbidden))
2026-04-05 17:03:10 | kite_live                      | WARNING | Kite Ticker closed: 1006 connection was closed uncleanly (WebSocket connection upgrade failed (403 - Forbidden))
2026-04-05 17:04:12 | kite_live                      | ERROR   | Kite Ticker error: 1006 connection was closed uncleanly (WebSocket connection upgrade failed (403 - Forbidden))
2026-04-05 17:04:12 | kite_live                      | WARNING | Kite Ticker closed: 1006 connection was closed uncleanly (WebSocket connection upgrade failed (403 - Forbidden))
2026-04-05 17:05:23 | kite_live                      | ERROR   | Kite Ticker error: 1006 connection was closed uncleanly (WebSocket connection upgrade failed (403 - Forbidden))
2026-04-05 17:05:23 | kite_live                      | WARNING | Kite Ticker closed: 1006 connection was closed uncleanly (WebSocket connection upgrade failed (403 - Forbidden))
