2026-04-03 08:38:30 | dashboard_api                  | INFO    | Dashboard API starting…
2026-04-03 08:38:30 | db                             | INFO    | DuckDB singleton connection opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/market.duckdb
2026-04-03 08:38:30 | db                             | INFO    | Schema initialised
2026-04-03 08:38:30 | sync_prices                    | INFO    | [INDIA] No delisted stocks to purge
2026-04-03 08:38:30 | watchlist                      | INFO    | Watchlist: 33 candidates (down_days >= 3)
2026-04-03 08:38:31 | kite_intraday                  | INFO    | Loaded 9583 NSE instrument tokens
2026-04-03 08:38:31 | intraday_db                    | INFO    | Intraday DB opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/intraday.duckdb
2026-04-03 08:38:32 | watchlist                      | INFO    | Watchlist with tokens: 33 stocks ready for live monitoring
2026-04-03 08:38:32 | kite_live                      | INFO    | Kite Ticker started in background thread
2026-04-03 08:38:32 | dashboard_api                  | INFO    | Auto-start: live ticker started with 33 stocks
2026-04-03 08:38:32 | kite_orders                    | INFO    | Loaded 3 open positions from prior days
2026-04-03 08:38:32 | kite_orders                    | INFO    | Order poller started (every 30s)
2026-04-03 08:38:32 | kite_orders                    | INFO    | AUTO-TRADE ENABLED
2026-04-03 08:38:32 | dashboard_api                  | INFO    | Auto-start: auto-trade enabled
2026-04-03 08:38:32 | kite_live                      | INFO    | Kite Ticker connected, subscribing to 33 tokens
2026-04-03 08:38:35 | watchlist                      | INFO    | Watchlist: 33 candidates (down_days >= 3)
2026-04-03 08:38:35 | dashboard_api                  | INFO    | WS connected (1 clients)
2026-04-03 08:38:35 | dashboard_api                  | INFO    | WS connected (2 clients)
2026-04-03 08:39:01 | db                             | INFO    | Schema initialised
2026-04-03 08:39:01 | sync_prices                    | WARNING | INDIA market still open — skipping sync
2026-04-03 08:39:01 | dashboard_api                  | INFO    | Daily sync done: [{'market': 'india', 'tickers': 0, 'synced': 0, 'failed': 0, 'new_rows': 0, 'newly_delisted': [], 'skipped_up_to_date': 0, 'market_open': True, 'message': 'INDIA market still open'}]
