2026-04-07 09:17:27 | dashboard_api                  | INFO    | Dashboard API starting…
2026-04-07 09:17:27 | db                             | INFO    | DuckDB singleton connection opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/market.duckdb
2026-04-07 09:17:27 | db                             | INFO    | Schema initialised
2026-04-07 09:17:27 | sync_prices                    | INFO    | [INDIA] No delisted stocks to purge
2026-04-07 09:17:28 | watchlist                      | INFO    | Watchlist: 23 candidates (down_days >= 3)
2026-04-07 09:17:28 | kite_intraday                  | INFO    | Loaded 9587 NSE instrument tokens
2026-04-07 09:17:28 | intraday_db                    | INFO    | Intraday DB opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/intraday.duckdb
2026-04-07 09:17:29 | watchlist                      | INFO    | Watchlist with tokens: 23 stocks ready for live monitoring
2026-04-07 09:17:29 | kite_live                      | INFO    | Late start detected (09:17) — backfilling first-hour data…
2026-04-07 09:17:41 | kite_live                      | INFO    | Backfill complete: 23/23 stocks filled, first_hour_done=False
2026-04-07 09:17:41 | kite_live                      | INFO    | Cached 23 first-hour entries to DB
2026-04-07 09:17:41 | kite_live                      | INFO    | Kite Ticker started in background thread
2026-04-07 09:17:41 | dashboard_api                  | INFO    | Auto-start: live ticker started with 23 stocks
2026-04-07 09:17:41 | kite_orders                    | INFO    | Loaded 6 open positions from prior days
2026-04-07 09:17:41 | kite_orders                    | INFO    | Order poller started (every 30s)
2026-04-07 09:17:41 | kite_orders                    | INFO    | AUTO-TRADE ENABLED
2026-04-07 09:17:41 | dashboard_api                  | INFO    | Auto-start: auto-trade enabled
2026-04-07 09:17:42 | kite_live                      | INFO    | Kite Ticker connected, subscribing to 23 tokens
2026-04-07 09:17:42 | kite_orders                    | INFO    | Loaded tick sizes for 9451 instruments
2026-04-07 09:17:43 | kite_orders                    | INFO    | Loaded tick sizes for 9451 instruments
2026-04-07 09:17:43 | kite_orders                    | ERROR   | SL placement failed for HYUNDAI (attempt 1/3): IP (2401:4900:1f39:1062:9c97:6af2:fa95:9475) is not allowed to place orders for this app. Update allowed IPs on the Kite developer console (https://developers.kite.trade).
2026-04-07 09:17:46 | kite_orders                    | ERROR   | SL placement failed for HYUNDAI (attempt 2/3): IP (2401:4900:1f39:1062:9c97:6af2:fa95:9475) is not allowed to place orders for this app. Update allowed IPs on the Kite developer console (https://developers.kite.trade).
2026-04-07 09:17:48 | kite_orders                    | ERROR   | SL placement failed for HYUNDAI (attempt 3/3): IP (2401:4900:1f39:1062:9c97:6af2:fa95:9475) is not allowed to place orders for this app. Update allowed IPs on the Kite developer console (https://developers.kite.trade).
2026-04-07 09:17:48 | kite_orders                    | CRITICAL | CRITICAL: HYUNDAI has NO STOP LOSS! Manual intervention required.
2026-04-07 09:17:48 | kite_orders                    | WARNING | SL BREACHED: ICICIGI stop=1684.40 >= LTP=1677.10 — placing immediate LIMIT sell @ 1660.30
2026-04-07 09:17:48 | kite_orders                    | ERROR   | EXIT SELL failed for ICICIGI: IP (2401:4900:1f39:1062:9c97:6af2:fa95:9475) is not allowed to place orders for this app. Update allowed IPs on the Kite developer console (https://developers.kite.trade). — falling back to SL order
2026-04-07 09:17:48 | kite_orders                    | ERROR   | SL placement failed for ICICIGI (attempt 1/3): IP (2401:4900:1f39:1062:9c97:6af2:fa95:9475) is not allowed to place orders for this app. Update allowed IPs on the Kite developer console (https://developers.kite.trade).
2026-04-07 09:17:50 | kite_orders                    | ERROR   | SL placement failed for ICICIGI (attempt 2/3): IP (2401:4900:1f39:1062:9c97:6af2:fa95:9475) is not allowed to place orders for this app. Update allowed IPs on the Kite developer console (https://developers.kite.trade).
2026-04-07 09:17:52 | kite_orders                    | ERROR   | SL placement failed for ICICIGI (attempt 3/3): IP (2401:4900:1f39:1062:9c97:6af2:fa95:9475) is not allowed to place orders for this app. Update allowed IPs on the Kite developer console (https://developers.kite.trade).
2026-04-07 09:17:52 | kite_orders                    | CRITICAL | CRITICAL: ICICIGI has NO STOP LOSS! Manual intervention required.
2026-04-07 09:17:52 | kite_orders                    | INFO    | Position MAXHEALTH no longer held — removing
2026-04-07 09:17:52 | kite_orders                    | INFO    | Position CIPLA no longer held — removing
2026-04-07 09:17:52 | kite_orders                    | INFO    | Position SUNPHARMA no longer held — removing
2026-04-07 09:17:52 | kite_orders                    | INFO    | Position BLUESTARCO no longer held — removing
2026-04-07 09:17:52 | dashboard_api                  | INFO    | Auto-start: morning SL refresh — 2 positions
2026-04-07 09:18:25 | watchlist                      | INFO    | Watchlist: 23 candidates (down_days >= 3)
2026-04-07 09:18:25 | dashboard_api                  | INFO    | WS connected (1 clients)
2026-04-07 09:18:25 | dashboard_api                  | INFO    | WS connected (2 clients)
2026-04-07 09:18:34 | dashboard_api                  | INFO    | Dashboard API starting…
2026-04-07 09:18:34 | db                             | INFO    | DuckDB singleton connection opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/market.duckdb
2026-04-07 09:18:34 | db                             | INFO    | Schema initialised
2026-04-07 09:18:34 | sync_prices                    | INFO    | [INDIA] No delisted stocks to purge
2026-04-07 09:18:34 | watchlist                      | INFO    | Watchlist: 23 candidates (down_days >= 3)
2026-04-07 09:18:36 | kite_intraday                  | INFO    | Loaded 9587 NSE instrument tokens
2026-04-07 09:18:36 | intraday_db                    | INFO    | Intraday DB opened → /Users/shark/alphaWork/projects/faralpha-quant-trader/db/intraday.duckdb
2026-04-07 09:18:37 | watchlist                      | INFO    | Watchlist with tokens: 23 stocks ready for live monitoring
2026-04-07 09:18:37 | kite_live                      | INFO    | Late start detected (09:18) — backfilling first-hour data…
2026-04-07 09:18:37 | kite_live                      | INFO    | Loaded 23 cached first-hour entries from DB — skipping Kite backfill
2026-04-07 09:18:37 | kite_live                      | INFO    | Kite Ticker started in background thread
2026-04-07 09:18:37 | dashboard_api                  | INFO    | Auto-start: live ticker started with 23 stocks
