avg_xirr,avg_dd,avg_sharpe,avg_trades,avg_win_rate,experiment,variant,down_days,rvol,trail,hold,entry_mode,label,holdout_xirr,holdout_dd,holdout_sharpe,holdout_trades,holdout_wr
1096.6,-7.0,5.86,991.0,59.3,gap_filter,gap_0.05,3,2.0,0.02,7,close,gap_filter_gap_0.05_D3_R2.0_T0.02_H7,1098.2,-10.5,5.89,1766,55.0
1083.2,-6.8,5.6,867.0,60.8,gap_filter,gap_0.05,4,1.5,0.02,7,close,gap_filter_gap_0.05_D4_R1.5_T0.02_H7,998.9,-8.5,5.88,1509,57.6
1522.4,-7.4,6.0,1052.0,59.6,baseline,none,3,2.0,0.02,10,close,baseline_none_D3_R2.0_T0.02_H10,1526.6,-11.0,5.88,1846,54.8
837.9,-6.0,5.46,793.0,60.7,gap_filter,gap_0.03,4,1.5,0.02,10,close,gap_filter_gap_0.03_D4_R1.5_T0.02_H10,968.6,-6.3,5.86,1422,58.4
1856.8,-6.0,6.24,1203.0,59.1,vol_follow,volr_1.5,3,1.0,0.02,7,close,vol_follow_volr_1.5_D3_R1.0_T0.02_H7,1378.2,-8.1,5.86,2036,53.8
775.0,-6.0,5.43,793.0,60.7,gap_filter,gap_0.03,4,1.5,0.02,7,close,gap_filter_gap_0.03_D4_R1.5_T0.02_H7,875.7,-6.3,5.83,1422,58.4
1965.7,-6.0,6.26,1203.0,59.2,vol_follow,volr_1.5,3,1.0,0.02,10,close,vol_follow_volr_1.5_D3_R1.0_T0.02_H10,1522.7,-8.1,5.82,2036,53.9
1372.5,-6.5,5.71,905.0,60.9,baseline,none,4,1.5,0.02,10,close,baseline_none_D4_R1.5_T0.02_H10,1183.3,-8.5,5.81,1569,57.2
2010.9,-8.2,5.75,1343.0,54.1,t1_entry,next_open,3,1.5,0.02,7,next_open,t1_entry_next_open_D3_R1.5_T0.02_H7,1321.4,-10.3,5.78,2282,51.9
3025.5,-7.4,6.85,1469.0,58.3,vol_follow,volr_1.0,3,1.0,0.02,10,close,vol_follow_volr_1.0_D3_R1.0_T0.02_H10,2414.5,-10.2,5.76,2450,53.6
2815.9,-7.4,6.82,1469.0,58.3,vol_follow,volr_1.0,3,1.0,0.02,7,close,vol_follow_volr_1.0_D3_R1.0_T0.02_H7,2182.2,-10.2,5.75,2450,53.6
2319.1,-8.3,5.72,1343.0,54.1,t1_entry,next_open,3,1.5,0.02,10,next_open,t1_entry_next_open_D3_R1.5_T0.02_H10,1480.7,-10.3,5.75,2282,51.8
1521.1,-9.6,5.6,1193.0,54.6,t1_entry,next_open,4,1.0,0.02,7,next_open,t1_entry_next_open_D4_R1.0_T0.02_H7,1218.1,-13.1,5.74,2024,52.8
669.0,-7.3,5.37,880.0,59.4,gap_filter,gap_0.03,3,2.0,0.02,7,close,gap_filter_gap_0.03_D3_R2.0_T0.02_H7,775.9,-8.8,5.71,1601,56.3
1679.2,-9.6,5.56,1193.0,54.6,t1_entry,next_open,4,1.0,0.02,10,next_open,t1_entry_next_open_D4_R1.0_T0.02_H10,1327.5,-13.1,5.71,2024,52.7
740.9,-7.3,5.38,880.0,59.4,gap_filter,gap_0.03,3,2.0,0.02,10,close,gap_filter_gap_0.03_D3_R2.0_T0.02_H10,890.9,-8.8,5.7,1601,56.3
1477.5,-6.9,5.95,1095.0,59.3,vol_follow,volr_1.2,3,1.5,0.02,7,close,vol_follow_volr_1.2_D3_R1.5_T0.02_H7,1149.3,-9.6,5.66,1885,53.8
731.0,-5.9,5.18,744.0,60.5,gap_filter,gap_0.02,4,1.5,0.02,10,close,gap_filter_gap_0.02_D4_R1.5_T0.02_H10,835.2,-6.3,5.62,1350,59.2
1576.8,-7.0,5.96,1095.0,59.4,vol_follow,volr_1.2,3,1.5,0.02,10,close,vol_follow_volr_1.2_D3_R1.5_T0.02_H10,1266.6,-9.6,5.6,1885,53.8
672.7,-5.9,5.13,744.0,60.5,gap_filter,gap_0.02,4,1.5,0.02,7,close,gap_filter_gap_0.02_D4_R1.5_T0.02_H7,758.3,-6.3,5.57,1350,59.2
1085.8,-7.0,5.68,921.0,60.0,vol_follow,volr_1.2,4,1.0,0.02,7,close,vol_follow_volr_1.2_D4_R1.0_T0.02_H7,1084.5,-9.7,5.57,1605,55.1
1042.5,-7.1,5.72,934.0,59.5,vol_follow,volr_1.0,3,2.0,0.02,7,close,vol_follow_volr_1.0_D3_R2.0_T0.02_H7,1082.9,-11.0,5.56,1651,54.4
1183.7,-7.5,5.67,978.0,59.5,vol_follow,volr_1.5,3,1.5,0.02,7,close,vol_follow_volr_1.5_D3_R1.5_T0.02_H7,1002.9,-8.3,5.55,1709,54.2
4590.8,-14.4,6.04,1682.0,53.1,baseline,none,3,1.0,0.03,7,close,baseline_none_D3_R1.0_T0.03_H7,1978.7,-17.9,5.53,2758,50.7
1143.7,-7.1,5.71,934.0,59.5,vol_follow,volr_1.0,3,2.0,0.02,10,close,vol_follow_volr_1.0_D3_R2.0_T0.02_H10,1246.5,-11.0,5.51,1651,54.4
1153.1,-7.0,5.67,921.0,60.0,vol_follow,volr_1.2,4,1.0,0.02,10,close,vol_follow_volr_1.2_D4_R1.0_T0.02_H10,1181.1,-9.7,5.5,1605,55.1
6673.9,-14.7,6.15,1682.0,53.2,baseline,none,3,1.0,0.03,10,close,baseline_none_D3_R1.0_T0.03_H10,2617.0,-18.8,5.5,2758,50.8
4090.9,-14.6,5.9,1649.0,52.9,gap_filter,gap_0.05,3,1.0,0.03,7,close,gap_filter_gap_0.05_D3_R1.0_T0.03_H7,1829.4,-18.2,5.49,2724,50.6
5907.3,-15.2,6.02,1649.0,53.2,gap_filter,gap_0.05,3,1.0,0.03,10,close,gap_filter_gap_0.05_D3_R1.0_T0.03_H10,2369.2,-19.4,5.48,2724,50.7
570.8,-6.5,5.1,801.0,59.1,gap_filter,gap_0.02,3,2.0,0.02,10,close,gap_filter_gap_0.02_D3_R2.0_T0.02_H10,672.6,-8.7,5.47,1476,56.6
1256.1,-7.5,5.66,978.0,59.6,vol_follow,volr_1.5,3,1.5,0.02,10,close,vol_follow_volr_1.5_D3_R1.5_T0.02_H10,1100.8,-8.2,5.46,1709,54.3
518.2,-6.5,5.06,801.0,59.1,gap_filter,gap_0.02,3,2.0,0.02,7,close,gap_filter_gap_0.02_D3_R2.0_T0.02_H7,591.4,-8.7,5.44,1476,56.6
1945.4,-7.1,6.06,1174.0,59.0,vol_follow,volr_1.0,3,1.5,0.02,7,close,vol_follow_volr_1.0_D3_R1.5_T0.02_H7,1639.9,-10.1,5.39,2014,53.9
673.6,-7.0,5.11,696.0,61.7,baseline,none,4,2.0,0.02,7,close,baseline_none_D4_R2.0_T0.02_H7,718.2,-8.1,5.38,1254,57.4
2096.4,-7.2,6.09,1174.0,59.0,vol_follow,volr_1.0,3,1.5,0.02,10,close,vol_follow_volr_1.0_D3_R1.5_T0.02_H10,1787.7,-10.1,5.37,2014,53.9
1497.9,-6.9,5.79,1003.0,60.3,vol_follow,volr_1.0,4,1.0,0.02,7,close,vol_follow_volr_1.0_D4_R1.0_T0.02_H7,1548.7,-9.8,5.35,1754,56.2
898.2,-7.3,5.6,884.0,60.0,vol_follow,volr_1.2,3,2.0,0.02,7,close,vol_follow_volr_1.2_D3_R2.0_T0.02_H7,914.6,-10.4,5.33,1568,54.6
1593.1,-6.9,5.8,1003.0,60.3,vol_follow,volr_1.0,4,1.0,0.02,10,close,vol_follow_volr_1.0_D4_R1.0_T0.02_H10,1663.8,-9.8,5.33,1754,56.2
939.3,-8.0,5.27,801.0,60.9,vol_follow,volr_1.5,4,1.0,0.02,7,close,vol_follow_volr_1.5_D4_R1.0_T0.02_H7,902.3,-9.2,5.3,1419,55.6
3190.8,-14.6,5.53,1526.0,53.7,gap_filter,gap_0.02,3,1.0,0.03,10,close,gap_filter_gap_0.02_D3_R1.0_T0.03_H10,1760.4,-15.9,5.28,2588,52.2
989.0,-7.3,5.59,884.0,60.0,vol_follow,volr_1.2,3,2.0,0.02,10,close,vol_follow_volr_1.2_D3_R2.0_T0.02_H10,1054.5,-10.4,5.28,1568,54.6
3364.8,-16.8,5.6,1575.0,53.2,gap_filter,gap_0.03,3,1.0,0.03,10,close,gap_filter_gap_0.03_D3_R1.0_T0.03_H10,1847.5,-17.5,5.27,2653,50.9
733.6,-7.0,5.07,696.0,61.7,baseline,none,4,2.0,0.02,10,close,baseline_none_D4_R2.0_T0.02_H10,805.1,-8.1,5.26,1254,57.4
2275.9,-14.4,5.37,1526.0,53.5,gap_filter,gap_0.02,3,1.0,0.03,7,close,gap_filter_gap_0.02_D3_R1.0_T0.03_H7,1313.4,-14.6,5.26,2588,52.2
2369.8,-16.1,5.43,1575.0,52.9,gap_filter,gap_0.03,3,1.0,0.03,7,close,gap_filter_gap_0.03_D3_R1.0_T0.03_H7,1396.9,-16.3,5.26,2653,50.8
976.4,-8.0,5.27,801.0,60.9,vol_follow,volr_1.5,4,1.0,0.02,10,close,vol_follow_volr_1.5_D4_R1.0_T0.02_H10,961.3,-9.2,5.22,1419,55.6
993.2,-9.1,5.47,1136.0,57.3,bounce,bounce_0.2,3,1.0,0.02,10,close,bounce_bounce_0.2_D3_R1.0_T0.02_H10,754.1,-10.3,5.21,1937,52.9
980.2,-8.6,5.12,1052.0,54.4,t1_entry,next_open,3,2.0,0.02,7,next_open,t1_entry_next_open_D3_R2.0_T0.02_H7,940.6,-9.5,5.2,1846,52.5
518.3,-7.0,4.89,647.0,61.5,gap_filter,gap_0.05,4,2.0,0.02,7,close,gap_filter_gap_0.05_D4_R2.0_T0.02_H7,599.1,-8.1,5.19,1167,57.8
1125.4,-8.2,5.06,1052.0,54.3,t1_entry,next_open,3,2.0,0.02,10,next_open,t1_entry_next_open_D3_R2.0_T0.02_H10,1091.1,-9.5,5.19,1846,52.5
563.4,-7.0,4.89,647.0,61.5,gap_filter,gap_0.05,4,2.0,0.02,10,close,gap_filter_gap_0.05_D4_R2.0_T0.02_H10,669.3,-8.1,5.18,1167,57.8
953.8,-9.1,5.47,1136.0,57.3,bounce,bounce_0.2,3,1.0,0.02,7,close,bounce_bounce_0.2_D3_R1.0_T0.02_H7,732.1,-10.3,5.18,1937,52.9
722.9,-6.7,5.27,800.0,59.7,vol_follow,volr_1.5,3,2.0,0.02,7,close,vol_follow_volr_1.5_D3_R2.0_T0.02_H7,765.3,-7.7,5.14,1432,54.4
2131.2,-17.0,5.13,1162.0,53.4,gap_filter,gap_0.05,4,1.0,0.03,10,close,gap_filter_gap_0.05_D4_R1.0_T0.03_H10,1338.4,-19.9,5.14,1979,50.7
2354.5,-16.0,5.26,1193.0,53.6,baseline,none,4,1.0,0.03,10,close,baseline_none_D4_R1.0_T0.03_H10,1361.3,-19.1,5.14,2024,50.7
1347.0,-16.1,5.15,1096.0,53.6,gap_filter,gap_0.03,4,1.0,0.03,10,close,gap_filter_gap_0.03_D4_R1.0_T0.03_H10,1163.5,-19.7,5.14,1916,51.4
990.8,-8.2,4.96,905.0,55.7,t1_entry,next_open,4,1.5,0.02,7,next_open,t1_entry_next_open_D4_R1.5_T0.02_H7,811.9,-8.5,5.14,1569,53.9
1079.2,-8.2,4.96,905.0,55.8,t1_entry,next_open,4,1.5,0.02,10,next_open,t1_entry_next_open_D4_R1.5_T0.02_H10,895.2,-8.5,5.13,1569,53.8
396.2,-6.0,4.59,567.0,62.3,gap_filter,gap_0.03,4,2.0,0.02,7,close,gap_filter_gap_0.03_D4_R2.0_T0.02_H7,505.6,-8.0,5.1,1055,59.7
2399.3,-14.1,5.55,1361.0,53.9,vol_follow,volr_1.2,3,1.0,0.03,10,close,vol_follow_volr_1.2_D3_R1.0_T0.03_H10,1380.0,-18.6,5.1,2280,50.7
