avg_xirr,avg_dd,avg_sharpe,avg_trades,avg_win_rate,depth,breadth_mode,breadth_factor,down_days,rvol,trail,hold,label,holdout_xirr,holdout_dd,holdout_sharpe,holdout_trades,holdout_wr,holdout_avg_size,xirr_pct_of_base,dd_improvement,wr_improvement
1787.0,-7.7,6.51,1267.0,58.7,-0.3,reduce_30-55_0.8,0.8,3,1.5,0.02,10,d30_reduce_30-55_0.8_D3_R1.5_T0.02_H10,1566.0,-7.7,6.57,2202,54.8,0.949,82.3993685872139,-2.8999999999999995,-0.20000000000000284
1716.8,-7.4,6.48,1267.0,58.7,-0.3,reduce_30-55_0.6,0.6,3,1.5,0.02,10,d30_reduce_30-55_0.6_D3_R1.5_T0.02_H10,1417.4,-6.9,6.52,2202,54.8,0.898,74.58037358589846,-3.6999999999999993,-0.20000000000000284
1684.9,-7.2,6.46,1267.0,58.7,-0.3,reduce_30-55_0.5,0.5,3,1.5,0.02,10,d30_reduce_30-55_0.5_D3_R1.5_T0.02_H10,1347.3,-6.4,6.47,2202,54.8,0.873,70.89187056037885,-4.199999999999999,-0.20000000000000284
1654.9,-7.1,6.42,1267.0,58.7,-0.3,reduce_30-55_0.4,0.4,3,1.5,0.02,10,d30_reduce_30-55_0.4_D3_R1.5_T0.02_H10,1279.8,-6.1,6.4,2202,54.8,0.847,67.34017363851618,-4.5,-0.20000000000000284
1762.6,-7.6,6.51,1267.0,58.7,-0.3,reduce_25-55_0.8,0.8,3,1.5,0.02,10,d30_reduce_25-55_0.8_D3_R1.5_T0.02_H10,1515.1,-7.5,6.56,2202,54.8,0.941,79.72112601946856,-3.0999999999999996,-0.20000000000000284
1675.1,-7.3,6.46,1267.0,58.7,-0.3,reduce_25-55_0.6,0.6,3,1.5,0.02,10,d30_reduce_25-55_0.6_D3_R1.5_T0.02_H10,1325.5,-6.6,6.48,2202,54.8,0.882,69.74480399894765,-4.0,-0.20000000000000284
1636.7,-7.1,6.43,1267.0,58.7,-0.3,reduce_25-55_0.5,0.5,3,1.5,0.02,10,d30_reduce_25-55_0.5_D3_R1.5_T0.02_H10,1238.1,-6.1,6.41,2202,54.8,0.852,65.14601420678768,-4.5,-0.20000000000000284
1691.0,-7.6,6.46,1267.0,58.7,-0.3,reduce_25-50_0.6,0.6,3,1.5,0.02,10,d30_reduce_25-50_0.6_D3_R1.5_T0.02_H10,1360.9,-7.6,6.47,2202,54.8,0.904,71.60747171796896,-3.0,-0.20000000000000284
1655.0,-7.5,6.43,1267.0,58.7,-0.3,reduce_25-50_0.5,0.5,3,1.5,0.02,10,d30_reduce_25-50_0.5_D3_R1.5_T0.02_H10,1280.1,-7.3,6.4,2202,54.8,0.88,67.3559589581689,-3.3,-0.20000000000000284
1582.3,-7.7,6.25,1267.0,54.0,-0.3,skip_30-50,0.0,3,1.5,0.02,10,d30_skip_30-50_D3_R1.5_T0.02_H10,1109.5,-7.9,6.04,2202,45.1,0.802,58.3793738489871,-2.6999999999999993,-9.899999999999999
1552.1,-6.9,6.22,1267.0,52.9,-0.3,skip_30-55,0.0,3,1.5,0.02,10,d30_skip_30-55_D3_R1.5_T0.02_H10,1035.0,-5.5,5.98,2202,42.9,0.746,54.459352801894234,-5.1,-12.100000000000001
2281.7,-7.1,6.67,1297.0,59.1,,none,1.0,3,1.5,0.02,7,dNone_none_D3_R1.5_T0.02_H7,1724.1,-10.6,6.67,2222,55.0,1.0,90.71823204419888,0.0,0.0
2281.7,-7.1,6.67,1297.0,59.1,,reduce_30-50_1.0,1.0,3,1.5,0.02,7,dNone_reduce_30-50_1.0_D3_R1.5_T0.02_H7,1724.1,-10.6,6.67,2222,55.0,1.0,90.71823204419888,0.0,0.0
2209.7,-7.0,6.66,1297.0,59.1,,reduce_30-50_0.8,0.8,3,1.5,0.02,7,dNone_reduce_30-50_0.8_D3_R1.5_T0.02_H7,1581.0,-10.3,6.66,2222,55.0,0.961,83.18863456985004,-0.29999999999999893,0.0
2145.1,-6.9,6.63,1297.0,59.1,,reduce_30-50_0.6,0.6,3,1.5,0.02,7,dNone_reduce_30-50_0.6_D3_R1.5_T0.02_H7,1447.0,-9.9,6.61,2222,55.0,0.921,76.13785845830044,-0.6999999999999993,0.0
2115.3,-6.9,6.6,1297.0,59.1,,reduce_30-50_0.5,0.5,3,1.5,0.02,7,dNone_reduce_30-50_0.5_D3_R1.5_T0.02_H7,1383.3,-9.8,6.56,2222,55.0,0.902,72.78610891870561,-0.7999999999999989,0.0
2087.1,-6.8,6.57,1297.0,59.1,,reduce_30-50_0.4,0.4,3,1.5,0.02,7,dNone_reduce_30-50_0.4_D3_R1.5_T0.02_H7,1321.8,-9.7,6.5,2222,55.0,0.882,69.55011838989739,-0.9000000000000004,0.0
