avg_xirr,avg_dd,avg_sharpe,avg_trades,avg_win_rate,depth,gap,breadth_mode,down_days,rvol,trail,hold,label,holdout_xirr,holdout_dd,holdout_sharpe,holdout_trades,holdout_wr,xirr_pct_of_base,dd_improvement,wr_improvement,sweet_score
2784.4,-7.6,7.19,1575.0,58.3,,-0.03,none,3,1.0,0.02,7,dNone_g3_none_D3_R1.0_T0.02_H7,1943.5,-8.3,6.92,2653,55.1,88.7767220902613,-2.0999999999999996,0.3999999999999986,5.989999999999999
2302.0,-7.6,7.04,1555.0,57.8,-0.3,-0.03,none,3,1.0,0.02,7,d30_g3_none_D3_R1.0_T0.02_H7,1805.8,-8.3,6.88,2642,54.8,82.4867531518363,-2.0999999999999996,0.09999999999999432,5.8599999999999985
2829.0,-7.9,7.11,1526.0,58.5,,-0.02,none,3,1.0,0.02,10,dNone_g2_none_D3_R1.0_T0.02_H10,2014.2,-7.8,6.94,2588,55.4,92.00621231500092,-2.6000000000000005,0.6999999999999957,5.85
2307.0,-7.9,6.97,1506.0,58.0,-0.3,-0.02,none,3,1.0,0.02,10,d30_g2_none_D3_R1.0_T0.02_H10,1945.4,-7.8,6.96,2579,55.3,88.863511785127,-2.6000000000000005,0.5999999999999943,5.839999999999998
4207.3,-6.7,7.2,1621.0,57.7,-0.3,-0.05,none,3,1.0,0.02,10,d30_g5_none_D3_R1.0_T0.02_H10,2420.4,-8.5,6.91,2704,54.0,110.56093550155308,-1.9000000000000004,-0.7000000000000028,5.749999999999999
3809.6,-6.8,7.2,1621.0,57.7,-0.3,-0.05,none,3,1.0,0.02,7,d30_g5_none_D3_R1.0_T0.02_H7,2176.6,-8.6,6.85,2704,54.0,99.42444728668008,-1.8000000000000007,-0.7000000000000028,5.739999999999998
4128.0,-6.5,7.25,1651.0,57.9,-0.3,,none,3,1.0,0.02,7,d30_gNone_none_D3_R1.0_T0.02_H7,2449.3,-8.2,6.84,2738,54.1,111.88105243924724,-2.200000000000001,-0.6000000000000014,5.559999999999999
2568.9,-7.7,7.05,1526.0,58.4,,-0.02,none,3,1.0,0.02,7,dNone_g2_none_D3_R1.0_T0.02_H7,1777.6,-7.3,6.86,2588,55.4,81.19861136488215,-3.1000000000000005,0.6999999999999957,5.52
4588.4,-6.5,7.21,1651.0,57.9,-0.3,,none,3,1.0,0.02,10,d30_gNone_none_D3_R1.0_T0.02_H10,2762.1,-8.2,6.8,2738,54.1,126.16937694134845,-2.200000000000001,-0.6000000000000014,5.519999999999999
2117.9,-7.3,6.54,1310.0,58.8,-0.3,,none,3,1.5,0.02,10,d30_gNone_none_D3_R1.5_T0.02_H10,1948.2,-8.3,6.43,2260,54.6,88.99141238808697,-2.0999999999999996,-0.10000000000000142,5.35
3262.5,-8.1,6.75,1598.0,56.6,-0.2,,none,3,1.0,0.02,10,d20_gNone_none_D3_R1.0_T0.02_H10,1766.5,-8.2,6.5,2680,52.9,80.69157683171936,-2.200000000000001,-1.8000000000000043,4.8599999999999985
4075.8,-6.2,6.95,1482.0,58.3,-0.3,,skip_30-50,3,1.0,0.02,10,d30_gNone_skip_30-50_D3_R1.0_T0.02_H10,1752.8,-7.2,6.28,2230,55.3,80.06577745295085,-3.2,0.5999999999999943,4.859999999999998
4038.2,-6.6,7.14,1635.0,57.7,-0.25,,none,3,1.0,0.02,10,d25_gNone_none_D3_R1.0_T0.02_H10,2212.8,-6.8,6.89,2727,53.9,101.07801936780561,-3.6000000000000005,-0.8000000000000043,4.849999999999999
3682.3,-6.6,7.15,1635.0,57.7,-0.25,,none,3,1.0,0.02,7,d25_gNone_none_D3_R1.0_T0.02_H7,2052.0,-6.8,6.84,2727,54.0,93.73287045496073,-3.6000000000000005,-0.7000000000000028,4.829999999999998
3860.5,-6.4,7.13,1607.0,57.5,-0.25,-0.05,none,3,1.0,0.02,10,d25_g5_none_D3_R1.0_T0.02_H10,2074.4,-6.7,6.91,2694,53.9,94.75607527864062,-3.7,-0.8000000000000043,4.819999999999999
3509.1,-6.4,7.13,1607.0,57.5,-0.25,-0.05,none,3,1.0,0.02,7,d25_g5_none_D3_R1.0_T0.02_H7,1902.3,-6.7,6.85,2694,53.9,86.89475607527865,-3.7,-0.8000000000000043,4.759999999999999
469.9,-7.4,4.78,627.0,60.7,-0.2,-0.05,skip_25-55,4,1.5,0.02,7,d20_g5_skip_25-55_D4_R1.5_T0.02_H7,378.0,-7.2,5.08,977,60.1,17.266581399598028,-3.2,5.399999999999999,-999.0
519.5,-5.1,4.87,622.0,62.0,,-0.02,skip_30-55,4,1.5,0.02,7,dNone_g2_skip_30-55_D4_R1.5_T0.02_H7,485.9,-4.2,5.04,986,62.0,22.195322492234606,-6.2,7.299999999999997,-999.0
852.3,-5.2,4.68,605.0,62.9,,,only_bear<25,4,1.5,0.02,7,dNone_gNone_only_bear<25_D4_R1.5_T0.02_H7,208.2,-5.2,3.96,671,60.5,9.510323405810341,-5.2,5.799999999999997,-999.0
924.4,-5.9,4.98,694.0,60.7,,,only_broad>50,4,1.5,0.02,7,dNone_gNone_only_broad>50_D4_R1.5_T0.02_H7,327.2,-6.8,4.51,937,57.6,14.946099031609721,-3.6000000000000005,2.8999999999999986,-999.0
672.7,-5.9,5.13,744.0,60.5,,-0.02,none,4,1.5,0.02,7,dNone_g2_none_D4_R1.5_T0.02_H7,758.3,-6.3,5.57,1350,59.2,34.63822400877033,-4.1000000000000005,4.5,-999.0
530.0,-6.6,4.86,649.0,60.9,,-0.02,skip_30-50,4,1.5,0.02,7,dNone_g2_skip_30-50_D4_R1.5_T0.02_H7,506.4,-8.5,5.02,1067,60.0,23.131737621048785,-1.9000000000000004,5.299999999999997,-999.0
495.0,-6.6,4.79,630.0,61.2,,-0.02,skip_25-50,4,1.5,0.02,7,dNone_g2_skip_25-50_D4_R1.5_T0.02_H7,436.6,-8.5,4.9,1009,60.6,19.94335830440344,-1.9000000000000004,5.899999999999999,-999.0
680.6,-7.2,5.23,719.0,62.0,-0.25,,skip_30-55,4,1.5,0.02,7,d25_gNone_skip_30-55_D4_R1.5_T0.02_H7,523.5,-5.2,5.38,1127,60.4,23.912844874840125,-5.2,5.699999999999996,-999.0
486.3,-6.0,4.8,603.0,62.5,,-0.02,skip_25-55,4,1.5,0.02,7,dNone_g2_skip_25-55_D4_R1.5_T0.02_H7,418.5,-6.8,4.93,928,62.7,19.116572263840673,-3.6000000000000005,8.0,-999.0
1034.4,-5.6,5.42,748.0,62.8,,,skip_25-55,4,1.5,0.02,7,dNone_gNone_skip_25-55_D4_R1.5_T0.02_H7,600.1,-5.9,5.34,1098,60.9,27.411839941531156,-4.5,6.199999999999996,-999.0
380.0,-5.1,4.23,510.0,61.2,,-0.02,only_bear<30,4,1.5,0.02,7,dNone_g2_only_bear<30_D4_R1.5_T0.02_H7,194.6,-4.2,3.83,649,60.1,8.889091905718985,-6.2,5.399999999999999,-999.0
365.8,-5.1,4.15,491.0,62.2,,-0.02,only_bear<25,4,1.5,0.02,7,dNone_g2_only_bear<25_D4_R1.5_T0.02_H7,160.7,-4.2,3.69,591,61.1,7.340581034167733,-6.2,6.399999999999999,-999.0
405.4,-6.6,4.37,553.0,60.5,,-0.02,only_broad>50,4,1.5,0.02,7,dNone_g2_only_broad>50_D4_R1.5_T0.02_H7,231.0,-8.5,4.13,778,59.3,10.551799744198794,-1.9000000000000004,4.599999999999994,-999.0
775.0,-6.0,5.43,793.0,60.7,,-0.03,none,4,1.5,0.02,7,dNone_g3_none_D4_R1.5_T0.02_H7,875.7,-6.3,5.83,1422,58.4,40.00091357573544,-4.1000000000000005,3.6999999999999957,-999.0
646.0,-7.8,5.13,728.0,61.1,-0.25,,skip_25-50,4,1.5,0.02,7,d25_gNone_skip_25-50_D4_R1.5_T0.02_H7,444.1,-6.2,5.19,1155,58.7,20.285949205189112,-4.2,4.0,-999.0
620.9,-6.7,5.17,694.0,61.4,,-0.03,skip_30-50,4,1.5,0.02,7,dNone_g3_skip_30-50_D4_R1.5_T0.02_H7,576.8,-8.5,5.31,1124,59.9,26.34752420975699,-1.9000000000000004,5.199999999999996,-999.0
577.1,-6.7,5.11,673.0,61.7,,-0.03,skip_25-50,4,1.5,0.02,7,dNone_g3_skip_25-50_D4_R1.5_T0.02_H7,479.3,-8.5,5.21,1062,60.5,21.893842499543215,-1.9000000000000004,5.799999999999997,-999.0
610.8,-5.4,5.19,666.0,62.4,,-0.03,skip_30-55,4,1.5,0.02,7,dNone_g3_skip_30-55_D4_R1.5_T0.02_H7,555.0,-4.5,5.35,1041,61.8,25.35172665813996,-5.9,7.099999999999994,-999.0
870.9,-5.2,4.8,626.0,62.3,,,only_bear<30,4,1.5,0.02,7,dNone_gNone_only_bear<30_D4_R1.5_T0.02_H7,258.9,-5.2,4.14,733,59.9,11.826237895121505,-5.2,5.199999999999996,-999.0
