avg_xirr,avg_dd,avg_sharpe,avg_trades,avg_win_rate,bucket,down_days,rvol,trail,hold,label,holdout_xirr,holdout_dd,holdout_sharpe,holdout_trades,holdout_wr
1282.8,-6.5,5.71,905.0,60.9,no_filter,4,1.5,0.02,7,no_filter_D4_R1.5_T0.02_H7,1074.9,-8.5,5.89,1569,57.2
1522.4,-7.4,6.0,1052.0,59.6,no_filter,3,2.0,0.02,10,no_filter_D3_R2.0_T0.02_H10,1526.6,-11.0,5.88,1846,54.8
1673.8,-6.4,5.86,851.0,63.8,min_10%,3,1.5,0.02,7,min_10%_D3_R1.5_T0.02_H7,1528.3,-8.4,5.87,1398,59.7
1535.7,-9.3,6.02,1513.0,55.1,max_15%,3,1.0,0.02,10,max_15%_D3_R1.0_T0.02_H10,1205.5,-8.4,5.82,2587,51.4
1817.8,-6.4,5.87,851.0,63.8,min_10%,3,1.5,0.02,10,min_10%_D3_R1.5_T0.02_H10,1704.3,-8.4,5.81,1398,59.7
1372.5,-6.5,5.71,905.0,60.9,no_filter,4,1.5,0.02,10,no_filter_D4_R1.5_T0.02_H10,1183.3,-8.5,5.81,1569,57.2
1211.8,-7.7,5.93,1052.0,59.3,no_filter,3,2.0,0.02,5,no_filter_D3_R2.0_T0.02_H5,1106.6,-10.9,5.8,1846,54.4
1927.9,-8.3,6.15,1110.0,60.6,min_5%,4,1.0,0.02,5,min_5%_D4_R1.0_T0.02_H5,1460.2,-9.8,5.79,1866,56.5
1126.3,-6.5,5.71,905.0,60.7,no_filter,4,1.5,0.02,5,no_filter_D4_R1.5_T0.02_H5,917.8,-8.5,5.79,1569,57.0
872.2,-7.8,5.76,997.0,58.9,max_25%,3,2.0,0.02,7,max_25%_D3_R2.0_T0.02_H7,960.9,-7.8,5.78,1800,54.4
2251.1,-8.2,6.08,1110.0,60.5,min_5%,4,1.0,0.02,7,min_5%_D4_R1.0_T0.02_H7,1751.6,-9.8,5.78,1866,56.3
1202.1,-7.6,5.79,963.0,60.6,min_5%,3,2.0,0.02,7,min_5%_D3_R2.0_T0.02_H7,1206.9,-10.9,5.78,1690,55.8
2464.5,-8.1,6.07,1110.0,60.5,min_5%,4,1.0,0.02,10,min_5%_D4_R1.0_T0.02_H10,1917.6,-9.8,5.77,1866,56.3
947.0,-7.8,5.75,997.0,58.9,max_25%,3,2.0,0.02,10,max_25%_D3_R2.0_T0.02_H10,1063.2,-7.8,5.76,1800,54.4
845.3,-8.1,5.47,852.0,60.4,max_25%,4,1.5,0.02,10,max_25%_D4_R1.5_T0.02_H10,822.2,-7.1,5.76,1525,57.1
809.4,-8.1,5.42,852.0,60.4,max_25%,4,1.5,0.02,7,max_25%_D4_R1.5_T0.02_H7,781.6,-7.1,5.74,1525,57.1
1394.0,-9.1,6.0,1513.0,55.0,max_15%,3,1.0,0.02,7,max_15%_D3_R1.0_T0.02_H7,1103.2,-7.7,5.73,2587,51.4
1314.8,-7.6,5.76,963.0,60.6,min_5%,3,2.0,0.02,10,min_5%_D3_R2.0_T0.02_H10,1382.4,-10.9,5.71,1690,55.8
972.5,-9.3,5.61,1086.0,58.2,max_20%,4,1.0,0.02,5,max_20%_D4_R1.0_T0.02_H5,789.3,-9.6,5.7,1916,54.7
1091.9,-7.6,5.75,963.0,60.4,min_5%,3,2.0,0.02,5,min_5%_D3_R2.0_T0.02_H5,1058.1,-10.9,5.7,1690,55.7
